timestamp,gpu_temp,cpu_temp,gpu_util,power,ram,system_state,temp_trend,decision,yolo_precision,bert_precision,yolo_latency_ms,bert_latency_ms,total_latency_ms,fps,throughput_tasks_per_sec,energy_per_inf_j,scheduler_overhead_ms,cost_function
07:21:58,46.062,50.187,0.0,6.612,4621,Normal,0.187,YOLO_INT8+BERT_INT8,int8,int8,40.48,9.17,49.65,24.70,322.24,0.3283,5.4336,0.2066
07:22:00,46.093,49.906,0.0,6.652,4621,Normal,0.031,YOLO_INT8+BERT_INT8,int8,int8,40.38,6.37,46.75,24.76,342.23,0.3110,4.3831,0.2023
07:22:02,46.218,50.0,0.0,6.652,4621,Normal,0.125,YOLO_INT8+BERT_INT8,int8,int8,41.11,9.13,50.23,24.33,318.51,0.3342,5.3811,0.2081
07:22:04,46.031,49.906,0.0,6.652,4621,Normal,-0.187,YOLO_INT8+BERT_INT8,int8,int8,42.54,6.06,48.60,23.51,329.20,0.3233,3.8228,0.2053
07:22:05,46.093,49.937,0.0,6.652,4621,Normal,0.062,YOLO_INT8+BERT_INT8,int8,int8,42.64,9.14,51.78,23.45,309.03,0.3444,5.4038,0.2105
07:22:07,46.125,49.812,0.0,6.612,4621,Normal,0.032,YOLO_INT8+BERT_INT8,int8,int8,39.41,6.07,45.48,25.38,351.84,0.3007,5.3520,0.1999
07:22:09,45.875,49.968,0.0,6.652,4621,Normal,-0.250,YOLO_INT8+BERT_INT8,int8,int8,41.12,8.29,49.41,24.32,323.79,0.3287,5.3704,0.2064
07:22:11,46.187,49.843,0.0,6.612,4621,Normal,0.312,YOLO_INT8+BERT_INT8,int8,int8,39.12,9.16,48.28,25.56,331.42,0.3192,5.3506,0.2045
07:22:12,46.062,49.906,0.0,6.652,4621,Normal,-0.125,YOLO_INT8+BERT_INT8,int8,int8,43.95,9.20,53.15,22.75,301.03,0.3536,5.4631,0.2127
07:22:14,46.093,49.968,0.0,6.652,4621,Normal,0.031,YOLO_INT8+BERT_INT8,int8,int8,42.92,9.22,52.15,23.30,306.81,0.3469,5.4922,0.2111
07:22:16,46.062,50.031,0.0,6.652,4621,Normal,-0.031,YOLO_INT8+BERT_INT8,int8,int8,40.57,9.12,49.69,24.65,322.00,0.3305,5.4862,0.2071
07:22:18,45.875,49.781,0.0,6.652,4621,Normal,-0.187,YOLO_INT8+BERT_INT8,int8,int8,39.75,9.40,49.16,25.15,325.49,0.3270,5.4741,0.2060
07:22:20,46.031,49.968,0.0,6.652,4621,Normal,0.156,YOLO_INT8+BERT_INT8,int8,int8,38.05,9.38,47.43,26.28,337.34,0.3155,5.3208,0.2034
07:22:21,46.125,50.156,19.0,6.652,4621,Normal,0.094,YOLO_INT8+BERT_INT8,int8,int8,39.99,9.10,49.09,25.01,325.95,0.3265,5.3451,0.2062
07:22:23,46.031,49.875,0.0,6.612,4621,Normal,-0.094,YOLO_INT8+BERT_INT8,int8,int8,39.58,9.15,48.73,25.27,328.36,0.3222,5.3964,0.2051
07:22:25,45.843,49.781,0.0,6.612,4621,Normal,-0.188,YOLO_INT8+BERT_INT8,int8,int8,40.69,6.03,46.72,24.58,342.49,0.3089,5.5087,0.2016
07:22:27,46.031,50.25,0.0,6.814,4621,Normal,0.188,YOLO_INT8+BERT_INT8,int8,int8,40.01,9.17,49.18,24.99,325.34,0.3351,5.5199,0.2078
07:22:28,46.031,49.875,0.0,6.652,4621,Normal,0.000,YOLO_INT8+BERT_INT8,int8,int8,40.43,8.41,48.84,24.74,327.60,0.3249,5.5277,0.2057
07:22:30,46.062,50.0,0.0,6.652,4621,Normal,0.031,YOLO_INT8+BERT_INT8,int8,int8,41.84,9.17,51.01,23.90,313.63,0.3394,4.5168,0.2092
07:22:32,45.843,49.718,0.0,6.693,4622,Normal,-0.219,YOLO_INT8+BERT_INT8,int8,int8,36.65,7.95,44.60,27.29,358.78,0.2985,5.3735,0.1989
07:22:33,46.187,50.25,0.0,6.652,4622,Normal,0.344,YOLO_INT8+BERT_INT8,int8,int8,39.78,8.61,48.39,25.14,330.66,0.3219,5.3649,0.2051
